Material,Hustota,Pisek,Prach,theta_r,theta_s,alpha,n,Ks
1,500,0,0,0.1625,0.7872,0.0935,1.1715,43.28
2,500,0,10,0.1546,0.7919,0.0885,1.1766,81.50
3,500,0,20,0.1480,0.7947,0.0811,1.1805,142.60
4,500,0,30,0.1436,0.7960,0.0725,1.1888,229.30
5,500,0,40,0.1398,0.7938,0.0607,1.2073,297.05
6,500,0,50,0.1359,0.7877,0.0451,1.2421,296.22
7,500,0,60,0.1323,0.7770,0.0289,1.3126,265.72
8,500,0,70,0.1315,0.7636,0.0165,1.4403,250.33
9,500,0,80,0.1314,0.7552,0.0106,1.6031,272.52
10,500,0,90,0.1269,0.7512,0.0086,1.7364,327.70
11,500,0,100,0.1175,0.7476,0.0088,1.808,404.82

12,500,10,0,0.1530,0.7845,0.0865,1.1818,57.23
13,500,10,10,0.1451,0.7869,0.0792,1.1857,125.52
14,500,10,20,0.1399,0.7879,0.0703,1.1936,234.10
15,500,10,30,0.1367,0.7859,0.0589,1.2131,365.06
16,500,10,40,0.1337,0.7793,0.0439,1.2468,440.07
17,500,10,50,0.1300,0.7676,0.0279,1.3123,449.28
18,500,10,60,0.1242,0.7496,0.0149,1.4356,423.57
19,500,10,70,0.1203,0.7337,0.0084,1.6124,446.06
20,500,10,80,0.1149,0.7256,0.0062,1.7672,497.60
21,500,10,90,0.1044,0.7218,0.0063,1.8327,566.41

22,500,20,0,0.1447,0.7807,0.0801,1.1931,67.72
23,500,20,10,0.1381,0.7810,0.0714,1.1992,155.46
24,500,20,20,0.1343,0.7788,0.0597,1.2186,300.12
25,500,20,30,0.1316,0.7719,0.0446,1.2519,453.84
26,500,20,40,0.1278,0.7593,0.0283,1.3126,525.84
27,500,20,50,0.1199,0.7391,0.0150,1.4262,539.71
28,500,20,60,0.1095,0.7146,0.0074,1.6041,601.73
29,500,20,70,0.1000,0.6979,0.0049,1.7739,695.11
30,500,20,80,0.0888,0.6903,0.0048,1.8433,789.12

31,500,30,0,0.1388,0.7764,0.0762,1.2055,76.78
32,500,30,10,0.1339,0.7739,0.0637,1.2221,183.15
33,500,30,20,0.1301,0.7664,0.0473,1.2542,325.61
34,500,30,30,0.1251,0.7528,0.0304,1.3088,467.52
35,500,30,40,0.1162,0.7319,0.0165,1.4053,548.13
36,500,30,50,0.1018,0.7024,0.0079,1.5639,642.75
37,500,30,60,0.0863,0.6753,0.0046,1.7337,779.97
38,500,30,70,0.0711,0.6592,0.0041,1.8050,900.05

39,500,40,0,0.1354,0.7710,0.0711,1.2243,79.34
40,500,40,10,0.1296,0.7633,0.0530,1.2516,190.69
41,500,40,20,0.1225,0.7494,0.0348,1.2978,313.94
42,500,40,30,0.1120,0.7285,0.0198,1.3738,407.62
43,500,40,40,0.0958,0.6986,0.0100,1.4951,560.53
44,500,40,50,0.0764,0.6634,0.0054,1.6363,745.73
45,500,40,60,0.0588,0.6372,0.0045,1.7037,912.69

46,500,50,0,0.1302,0.7621,0.0623,1.2467,69.49
47,500,50,10,0.1200,0.7488,0.0425,1.2802,158.83
48,500,50,20,0.1073,0.7294,0.0260,1.3340,250.78
49,500,50,30,0.0907,0.7023,0.0145,1.4155,383.38
50,500,50,40,0.0699,0.6655,0.0083,1.5126,565.21
51,500,50,50,0.0511,0.6307,0.0067,1.5665,820.18

52,500,60,0,0.1178,0.7506,0.0541,1.2638,55.48
53,500,60,10,0.1030,0.7339,0.0362,1.2955,126.19
54,500,60,20,0.0865,0.7111,0.0230,1.3435,242.78
55,500,60,30,0.0661,0.6784,0.0150,1.4018,455.92
56,500,60,40,0.0466,0.6402,0.0125,1.4399,683.87

57,500,70,0,0.1010,0.7401,0.0502,1.2734,36.18
58,500,70,10,0.0840,0.7221,0.0365,1.2972,113.14
59,500,70,20,0.0642,0.6958,0.0281,1.3299,269.97
60,500,70,30,0.0449,0.6601,0.0261,1.3579,496.71

61,500,80,0,0.0841,0.7322,0.0530,1.2927,32.71
62,500,80,10,0.0644,0.7124,0.0476,1.3144,96.75
63,500,80,20,0.0459,0.6833,0.0507,1.3477,225.35

64,500,90,0,0.0677,0.7254,0.0671,1.3935,43.80
65,500,90,10,0.0493,0.7035,0.0810,1.4493,111.89

66,500,100,0,0.0553,0.7175,0.1036,1.6757,71.36

%vG_hustota 750
67,750,0,0,0.1451,0.7101,0.0593,1.1766,37.70
68,750,0,10,0.1389,0.7146,0.0558,1.1890,55.75
69,750,0,20,0.1333,0.7158,0.0507,1.2010,82.28
70,750,0,30,0.1288,0.7147,0.0448,1.2111,115.02
71,750,0,40,0.1246,0.7107,0.0379,1.2340,144.66
72,750,0,50,0.1196,0.7021,0.0289,1.2751,149.09
73,750,0,60,0.1131,0.6880,0.0190,1.3478,132.76
74,750,0,70,0.1072,0.6715,0.0113,1.4642,126.26
75,750,0,80,0.1039,0.6625,0.0076,1.5959,138.30
76,750,0,90,0.1006,0.6599,0.0065,1.7091,178.21
77,750,0,100,0.0932,0.6586,0.0071,1.7819,240.74

78,750,10,0,0.1379,0.7069,0.0546,1.1895,47.13
79,750,10,10,0.1314,0.7077,0.0499,1.2033,75.77
80,750,10,20,0.1262,0.7058,0.0444,1.2145,123.82
81,750,10,30,0.1225,0.7014,0.0377,1.2379,183.36
82,750,10,40,0.1184,0.6919,0.0288,1.2800,222.58
83,750,10,50,0.1128,0.6759,0.0187,1.3527,220.93
84,750,10,60,0.1039,0.6524,0.0103,1.4766,217.51
85,750,10,70,0.0958,0.6329,0.0060,1.6335,242.67
86,750,10,80,0.0873,0.6241,0.0047,1.7488,295.80
87,750,10,90,0.0765,0.6217,0.0052,1.7939,372.23

88,750,20,0,0.1317,0.7020,0.0507,1.2065,52.89
89,750,20,10,0.1255,0.6994,0.0459,1.2184,95.53
90,750,20,20,0.1211,0.6941,0.0393,1.2408,165.89
91,750,20,30,0.1171,0.6838,0.0300,1.2835,240.19
92,750,20,40,0.1115,0.6664,0.0195,1.3528,269.12
93,750,20,50,0.1021,0.6398,0.0105,1.4728,269.31
94,750,20,60,0.0899,0.6092,0.0054,1.6451,314.96
95,750,20,70,0.0773,0.5894,0.0038,1.7793,394.73
96,750,20,80,0.0632,0.5815,0.0040,1.8005,511.08

97,750,30,0,0.1270,0.6958,0.0494,1.2230,62.76
98,750,30,10,0.1214,0.6897,0.0427,1.2424,122.21
99,750,30,20,0.1166,0.6786,0.0328,1.2827,191.42
100,750,30,30,0.1102,0.6601,0.0215,1.3456,252.51
101,750,30,40,0.1001,0.6328,0.0120,1.4498,276.32
102,750,30,50,0.0850,0.5957,0.0059,1.6091,332.58
103,750,30,60,0.0690,0.5636,0.0037,1.7559,434.95
104,750,30,70,0.0533,0.5461,0.0037,1.7733,583.32

105,750,40,0,0.1236,0.6877,0.0479,1.2442,71.75
106,750,40,10,0.1170,0.6763,0.0375,1.2764,137.40
107,750,40,20,0.1091,0.6580,0.0254,1.3292,199.76
108,750,40,30,0.0977,0.6313,0.0149,1.4116,224.70
109,750,40,40,0.0814,0.5941,0.0079,1.5348,295.53
110,750,40,50,0.0623,0.5524,0.0046,1.6611,425.26
111,750,40,60,0.0457,0.5239,0.0043,1.6831,596.46

112,750,50,0,0.1186,0.6765,0.0441,1.2700,79.15
113,750,50,10,0.1081,0.6597,0.0316,1.3073,143.65
114,750,50,20,0.0950,0.6355,0.0202,1.3650,184.05
115,750,50,30,0.0785,0.6021,0.0120,1.4473,235.96
116,750,50,40,0.0580,0.5584,0.0074,1.5332,341.26
117,750,50,50,0.0405,0.5207,0.0068,1.5520,560.21

118,750,60,0,0.1077,0.6642,0.0401,1.2918,81.76
119,750,60,10,0.0929,0.6440,0.0285,1.3252,147.46
120,750,60,20,0.0761,0.6161,0.0194,1.3728,229.26
121,750,60,30,0.0558,0.5773,0.0139,1.4212,362.60
122,750,60,40,0.0375,0.5350,0.0132,1.4341,545.25

123,750,70,0,0.0929,0.6542,0.0386,1.3095,88.25
124,750,70,10,0.0753,0.6321,0.0303,1.3324,195.75
125,750,70,20,0.0554,0.6010,0.0260,1.3566,327.09
126,750,70,30,0.0370,0.5604,0.0273,1.3691,512.37

127,750,80,0,0.0773,0.6467,0.0415,1.3472,98.43
128,750,80,10,0.0570,0.6229,0.0418,1.3634,239.82
129,750,80,20,0.0390,0.5892,0.0496,1.3909,414.18

130,750,90,0,0.0622,0.6401,0.0538,1.4998,111.98
131,750,90,10,0.0436,0.6139,0.0708,1.5623,291.97

132,750,100,0,0.0509,0.6312,0.0796,1.9285,167.63

%vG_hustota 1000
133,1000,0,0,0.1320,0.6219,0.0370,1.1801,25.82
134,1000,0,10,0.1267,0.6262,0.0346,1.1965,31.25
135,1000,0,20,0.1223,0.6276,0.0318,1.2176,34.45
136,1000,0,30,0.1186,0.6258,0.0286,1.2387,39.51
137,1000,0,40,0.1148,0.6212,0.0248,1.2654,48.91
138,1000,0,50,0.1104,0.6128,0.0197,1.3147,54.58
139,1000,0,60,0.1040,0.5987,0.0137,1.3922,51.04
140,1000,0,70,0.0965,0.5820,0.0087,1.5017,50.21
141,1000,0,80,0.0896,0.5726,0.0063,1.6118,59.12
142,1000,0,90,0.0808,0.5690,0.0057,1.6869,85.02
143,1000,0,100,0.0691,0.5674,0.0066,1.7189,125.34

144,1000,10,0,0.1263,0.6186,0.0343,1.1911,30.75
145,1000,10,10,0.1213,0.6190,0.0315,1.2143,36.96
146,1000,10,20,0.1169,0.6166,0.0289,1.2375,46.98
147,1000,10,30,0.1131,0.6112,0.0253,1.2664,62.31
148,1000,10,40,0.1092,0.6016,0.0201,1.3174,77.85
149,1000,10,50,0.1033,0.5852,0.0137,1.3990,77.09
150,1000,10,60,0.0936,0.5609,0.0081,1.5217,79.89
151,1000,10,70,0.0838,0.5409,0.0051,1.6614,100.46
152,1000,10,80,0.0727,0.5308,0.0043,1.7427,145.77
153,1000,10,90,0.0595,0.5271,0.0051,1.7454,212.57

154,1000,20,0,0.1217,0.6133,0.0326,1.2082,33.50
155,1000,20,10,0.1170,0.6108,0.0304,1.2353,44.99
156,1000,20,20,0.1127,0.6046,0.0271,1.2650,63.10
157,1000,20,30,0.1084,0.5937,0.0216,1.3153,85.26
158,1000,20,40,0.1020,0.5757,0.0147,1.3952,91.07
159,1000,20,50,0.0917,0.5483,0.0085,1.5187,91.98
160,1000,20,60,0.0787,0.5169,0.0048,1.6781,117.99
161,1000,20,70,0.0652,0.4962,0.0036,1.7790,177.28
162,1000,20,80,0.0510,0.4874,0.0043,1.7592,275.98

163,1000,30,0,0.1186,0.6079,0.0334,1.2288,38.72
164,1000,30,10,0.1139,0.6015,0.0301,1.2609,57.92
165,1000,30,20,0.1084,0.5898,0.0243,1.3073,78.67
166,1000,30,30,0.1010,0.5710,0.0169,1.3811,91.32
167,1000,30,40,0.0900,0.5426,0.0100,1.4914,89.70
168,1000,30,50,0.0746,0.5044,0.0054,1.6412,114.12
169,1000,30,60,0.0585,0.4720,0.0037,1.7543,181.22
170,1000,30,70,0.0435,0.4544,0.0042,1.7306,303.15

171,1000,40,0,0.1162,0.6011,0.0344,1.2526,46.78
172,1000,40,10,0.1094,0.5893,0.0284,1.2950,69.94
173,1000,40,20,0.1005,0.5710,0.0206,1.3578,84.79
174,1000,40,30,0.0885,0.5436,0.0129,1.4473,79.37
175,1000,40,40,0.0721,0.5051,0.0075,1.5649,101.21
176,1000,40,50,0.0532,0.4631,0.0049,1.6603,168.76
177,1000,40,60,0.0376,0.4353,0.0053,1.6417,304.62

178,1000,50,0,0.1113,0.5911,0.0338,1.2825,61.11
179,1000,50,10,0.1005,0.5745,0.0259,1.3328,85.64
180,1000,50,20,0.0873,0.5503,0.0178,1.3986,89.41
181,1000,50,30,0.0704,0.5156,0.0115,1.4785,100.60
182,1000,50,40,0.0500,0.4713,0.0082,1.5401,155.28
183,1000,50,50,0.0337,0.4346,0.0087,1.5246,272.64

184,1000,60,0,0.1014,0.5801,0.0320,1.3180,75.86
185,1000,60,10,0.0870,0.5604,0.0246,1.3637,109.80
186,1000,60,20,0.0696,0.5315,0.0184,1.4118,136.52
187,1000,60,30,0.0491,0.4919,0.0152,1.4434,196.24
188,1000,60,40,0.0318,0.4500,0.0168,1.4318,310.68

189,1000,70,0,0.0887,0.5708,0.0310,1.3617,111.39
190,1000,70,10,0.0707,0.5486,0.0270,1.3897,167.42
191,1000,70,20,0.0500,0.5165,0.0266,1.4042,231.54
192,1000,70,30,0.0322,0.4754,0.0318,1.4024,346.67

193,1000,80,0,0.0751,0.5631,0.0332,1.4456,164.67
194,1000,80,10,0.0534,0.5387,0.0381,1.4598,266.72
195,1000,80,20,0.0354,0.5037,0.0496,1.4851,399.82

196,1000,90,0,0.0611,0.5557,0.0423,1.7188,307.58
197,1000,90,10,0.0415,0.5278,0.0593,1.7961,571.81

198,1000,100,0,0.0508,0.5442,0.0564,2.4905,616.46

%vG_hustota 1200
199,1200,0,0,0.1236,0.5465,0.0259,1.1772,16.03
200,1200,0,10,0.1183,0.5518,0.0245,1.1955,16.54
201,1200,0,20,0.1144,0.5552,0.0229,1.2211,15.68
202,1200,0,30,0.1115,0.5563,0.0213,1.2511,15.31
203,1200,0,40,0.1086,0.5538,0.0190,1.2859,17.40
204,1200,0,50,0.1050,0.5475,0.0156,1.3397,19.57
205,1200,0,60,0.0993,0.5357,0.0114,1.4224,19.50
206,1200,0,70,0.0916,0.5212,0.0078,1.5260,20.83
207,1200,0,80,0.0832,0.5130,0.0060,1.6175,27.72
208,1200,0,90,0.0722,0.5088,0.0058,1.6679,44.26
209,1200,0,100,0.0594,0.5062,0.0071,1.6797,69.49

210,1200,10,0,0.1188,0.5459,0.0251,1.1850,18.70
211,1200,10,10,0.1137,0.5473,0.0233,1.2111,19.74
212,1200,10,20,0.1099,0.5473,0.0219,1.2432,20.13
213,1200,10,30,0.1069,0.5442,0.0199,1.2812,22.87
214,1200,10,40,0.1036,0.5364,0.0163,1.3378,27.05
215,1200,10,50,0.0983,0.5225,0.0116,1.4267,26.89
216,1200,10,60,0.0886,0.5006,0.0074,1.5462,29.84
217,1200,10,70,0.0779,0.4825,0.0051,1.6655,43.05
218,1200,10,80,0.0652,0.4719,0.0046,1.7192,73.38
219,1200,10,90,0.0516,0.4669,0.0058,1.7043,124.01

220,1200,20,0,0.1147,0.5428,0.0250,1.1984,21.33
221,1200,20,10,0.1102,0.5419,0.0237,1.2318,22.94
222,1200,20,20,0.1067,0.5383,0.0217,1.2718,26.21
223,1200,20,30,0.1027,0.5291,0.0179,1.3283,31.21
224,1200,20,40,0.0967,0.5134,0.0128,1.4159,30.19
225,1200,20,50,0.0864,0.4885,0.0079,1.5389,31.20
226,1200,20,60,0.0730,0.4596,0.0049,1.6784,44.84
227,1200,20,70,0.0585,0.4398,0.0041,1.7470,81.84
228,1200,20,80,0.0443,0.4299,0.0052,1.7098,150.70

229,1200,30,0,0.1121,0.5398,0.0269,1.2155,23.56
230,1200,30,10,0.1079,0.5357,0.0246,1.2569,28.52
231,1200,30,20,0.1029,0.5260,0.0206,1.3114,33.63
232,1200,30,30,0.0956,0.5095,0.0151,1.3922,33.10
233,1200,30,40,0.0847,0.4837,0.0096,1.5054,29.56
234,1200,30,50,0.0690,0.4479,0.0057,1.6395,39.86
235,1200,30,60,0.0524,0.4176,0.0044,1.7169,76.79
236,1200,30,70,0.0380,0.4005,0.0055,1.6726,159.88

237,1200,40,0,0.1101,0.5353,0.0289,1.2355,28.74
238,1200,40,10,0.1038,0.5260,0.0245,1.2891,35.92
239,1200,40,20,0.0950,0.5100,0.0187,1.3606,36.74
240,1200,40,30,0.0832,0.4854,0.0126,1.4569,29.24
241,1200,40,40,0.0668,0.4494,0.0080,1.5659,35.91
242,1200,40,50,0.0479,0.4103,0.0060,1.6290,69.51
243,1200,40,60,0.0330,0.3842,0.0074,1.5869,149.24

244,1200,50,0,0.1051,0.5275,0.0295,1.2634,39.05
245,1200,50,10,0.0951,0.5135,0.0234,1.3305,46.08
246,1200,50,20,0.0824,0.4921,0.0172,1.4091,41.45
247,1200,50,30,0.0658,0.4599,0.0123,1.4878,45.81
248,1200,50,40,0.0455,0.4188,0.0101,1.5264,71.04
249,1200,50,50,0.0300,0.3848,0.0122,1.4902,136.93

250,1200,60,0,0.0959,0.5176,0.0283,1.3093,53.79
251,1200,60,10,0.0829,0.5006,0.0227,1.3810,67.61
252,1200,60,20,0.0660,0.4746,0.0188,1.4369,71.62
253,1200,60,30,0.0453,0.4381,0.0179,1.4562,100.62
254,1200,60,40,0.0289,0.3993,0.0223,1.4298,165.40

255,1200,70,0,0.0856,0.5080,0.0266,1.3886,85.27
256,1200,70,10,0.0685,0.4890,0.0252,1.4419,104.66
257,1200,70,20,0.0474,0.4599,0.0283,1.4547,138.81
258,1200,70,30,0.0302,0.4218,0.0371,1.4464,206.90

259,1200,80,0,0.0747,0.5000,0.0278,1.5465,143.53
260,1200,80,10,0.0525,0.4787,0.0353,1.5818,206.29
261,1200,80,20,0.0345,0.4461,0.0488,1.6160,304.46

262,1200,90,0,0.0626,0.4919,0.0339,2.0204,381.80
263,1200,90,10,0.0421,0.4660,0.0491,2.1545,627.19

264,1200,100,0,0.0535,0.4788,0.0407,3.4264,1311.03

%vG_hustota 1300
265,1300,0,0,0.1199,0.5095,0.0222,1.1743,12.12
266,1300,0,10,0.1143,0.5154,0.0214,1.1910,11.55
267,1300,0,20,0.1105,0.5201,0.0202,1.2174,10.48
268,1300,0,30,0.1078,0.5229,0.0191,1.2498,9.67
269,1300,0,40,0.1055,0.5222,0.0173,1.2892,10.26
270,1300,0,50,0.1024,0.5173,0.0143,1.3462,11.14
271,1300,0,60,0.0972,0.5070,0.0107,1.4309,11.47
272,1300,0,70,0.0894,0.4940,0.0076,1.5325,12.96
273,1300,0,80,0.0805,0.4867,0.0061,1.6155,18.53
274,1300,0,90,0.0687,0.4825,0.0060,1.6543,31.29
275,1300,0,100,0.0556,0.4798,0.0077,1.6615,50.79

276,1300,10,0,0.1153,0.5111,0.0223,1.1788,14.23
277,1300,10,10,0.1099,0.5127,0.0210,1.2037,14.21
278,1300,10,20,0.1063,0.5139,0.0199,1.2382,13.44
279,1300,10,30,0.1037,0.5126,0.0183,1.2801,13.97
280,1300,10,40,0.1008,0.5061,0.0151,1.3405,15.32
281,1300,10,50,0.0958,0.4938,0.0110,1.4322,15.17
282,1300,10,60,0.0863,0.4737,0.0072,1.5507,17.57
283,1300,10,70,0.0754,0.4570,0.0052,1.6598,27.39
284,1300,10,80,0.0621,0.4468,0.0049,1.6990,50.57
285,1300,10,90,0.0483,0.4414,0.0065,1.6794,91.28

286,1300,20,0,0.1114,0.5091,0.0229,1.1892,16.62
287,1300,20,10,0.1066,0.5086,0.0218,1.2220,16.57
288,1300,20,20,0.1034,0.5065,0.0201,1.2658,17.15
289,1300,20,30,0.0998,0.4989,0.0168,1.3259,18.63
290,1300,20,40,0.0940,0.4847,0.0123,1.4162,16.88
291,1300,20,50,0.0841,0.4618,0.0079,1.5394,17.60
292,1300,20,60,0.0705,0.4348,0.0051,1.6680,26.85
293,1300,20,70,0.0557,0.4161,0.0045,1.7189,54.13
294,1300,20,80,0.0416,0.4062,0.0061,1.6779,107.98

295,1300,30,0,0.1087,0.5068,0.0251,1.2029,18.32
296,1300,30,10,0.1044,0.5036,0.0231,1.2446,20.01
297,1300,30,20,0.0998,0.4957,0.0195,1.3031,21.73
298,1300,30,30,0.0927,0.4809,0.0146,1.3865,19.26
299,1300,30,40,0.0822,0.4573,0.0096,1.5013,16.80
300,1300,30,50,0.0665,0.4236,0.0061,1.6262,23.41
301,1300,30,60,0.0498,0.3951,0.0050,1.6848,49.19
302,1300,30,70,0.0356,0.3786,0.0067,1.6358,112.61

303,1300,40,0,0.1066,0.5032,0.0275,1.2191,22.26
304,1300,40,10,0.1004,0.4954,0.0234,1.2738,25.30
305,1300,40,20,0.0921,0.4814,0.0182,1.3496,23.54
306,1300,40,30,0.0807,0.4591,0.0127,1.4494,17.83
307,1300,40,40,0.0645,0.4253,0.0085,1.5537,21.65
308,1300,40,50,0.0456,0.3884,0.0070,1.6016,44.38
309,1300,40,60,0.0311,0.3637,0.0091,1.5533,102.09

310,1300,50,0,0.1014,0.4963,0.0284,1.2433,29.96
311,1300,50,10,0.0919,0.4843,0.0288,1.3144,32.22
312,1300,50,20,0.0799,0.4651,0.0173,1.4012,27.57
313,1300,50,30,0.0637,0.4354,0.0131,1.4813,30.51
314,1300,50,40,0.0435,0.3966,0.0116,1.5108,48.38
315,1300,50,50,0.0285,0.3646,0.0150,1.4692,96.89

316,1300,60,0,0.0924,0.4871,0.0273,1.2892,42.74
317,1300,60,10,0.0805,0.4721,0.0222,1.3745,48.51
318,1300,60,20,0.0642,0.4487,0.0194,1.4403,49.71
319,1300,60,30,0.0437,0.4146,0.0199,1.4574,70.42
320,1300,60,40,0.0279,0.3782,0.0262,1.4282,118.76

321,1300,70,0,0.0833,0.4773,0.0252,1.3829,66.59
322,1300,70,10,0.0673,0.4608,0.0247,1.4593,76.45
323,1300,70,20,0.0463,0.4343,0.0295,1.4793,102.47
324,1300,70,30,0.0296,0.3985,0.0402,1.4737,154.87

325,1300,80,0,0.0742,0.4691,0.0257,1.5850,117.63
326,1300,80,10,0.0523,0.4504,0.0340,1.6519,168.69
327,1300,80,20,0.0345,0.4200,0.0481,1.7047,251.38

328,1300,90,0,0.0633,0.4606,0.0305,2.1964,369.36
329,1300,90,10,0.0429,0.4369,0.0444,2.4112,600.35

330,1300,100,0,0.0549,0.4470,0.0352,4.0339,1543.77

%vG_hustota 1400
331,1400,0,0,0.1166,0.4749,0.0196,1.1724,9.00
332,1400,0,10,0.1104,0.4803,0.0192,1.1844,8.02
333,1400,0,20,0.1066,0.4859,0.0183,1.2093,6.98
334,1400,0,30,0.1040,0.4901,0.0175,1.2428,6.24
